"LOAN","MORTDUE","VALUE","JOB","YOJ","DEROG","DELINQ","CLAGE","NINQ","CLNO","DEBTINC","Default","Loan_Reason"
"        1100","       25860","35357.952706","Other","        10.5","           0","           0","94.366666667","           1","           9","           .","Yes","Home Improvement"
"        1300","       70053","12837.711928","Other","           7","           0","           2","121.83333333","           0","          14","           .","Yes","Home Improvement"
"        1500","       13500","       16700","Other","           4","           0","           0","149.46666667","           1","          10","           .","Yes","Home Improvement"
"        1500","           .","           .","","           .","           .","           .","           .","           .","           .","           .","Yes","Debt Consolidation"
"        1700","       97800","      112000","Office","1.8445629565","           0","           0","93.333333333","           0","          14","           .","No","Home Improvement"
"        1700","       30548","       40320","Other","           9","           0","           0","101.46600191","           1","           8","37.113613558","Yes","Home Improvement"
"        1800","       48649","6204.9754186","Other","           5","           3","           2","        77.1","           1","          17","           .","Yes","Home Improvement"
"        1800","21408.211769","       43034","Other","          11","           0","           0","88.766029879","           0","           8","36.884894093","Yes","Home Improvement"
" 1354.712295","       32700","       46740","Other","           3","           0","           2","216.93333333","           1","          12","           .","Yes","Home Improvement"
"        2000","           .","       62250","Sales","          16","           0","           0","       115.8","           0","          13","           .","Yes","Home Improvement"
"        2000","1631.0968422","           .","","14.285077732","           .","           .","           .","           .","           .","           .","Yes","Debt Consolidation"
"        2000","       20627","       29800","Office","          11","           0","           1","122.53333333","           1","           9","           .","Yes","Home Improvement"
"        2000","28230.830593","       55000","Other","           3","           0","           0","86.066666667","           2","          25","           .","Yes","Home Improvement"
"        2000","       64536","9244.2496359","Mgr","2.4987276504","           0","           0","147.13333333","           0","          24","           .","Yes","Debt Consolidation"
"48.095683962","       71000","       83850","Other","2.7399844242","           0","           1","         123","           0","          16","           .","Yes","Home Improvement"
"1656.8054153","       24280","       34687","Other","           .","           0","           1","300.86666667","           0","           8","           .","Yes","Home Improvement"
"        2200","       90957","      102600","Mgr","           7","           2","           6","       122.9","           1","          22","           .","Yes","Home Improvement"
"        2200","       23030","           .","","          19","           .","           .","           .","           .","           .","3.7113122995","Yes","Debt Consolidation"
"        2300"," 23635.61471","       40150","Other"," 2.325227054","           0","           0","        54.6","           1","          16","           .","Yes","Home Improvement"
"        2300","      102370","      120953","Office","           2","           0","           0","90.992533467","           0","          13","31.588503178","No","Home Improvement"
"        2300","19477.855931","       46200","Other","           3","           0","           1","122.26666667","           1","          14","           .","Yes","Home Improvement"
"        2400","       50000","       73395","ProfExe","           5","           1","           0","           .","           1","           0","           .","Yes","Home Improvement"
"970.38869866","       28000","       40800","Mgr","          12","           0","           0","        67.2","           2","          22","           .","Yes","Home Improvement"
"936.18719323","       18000","           .","Mgr","          22","           .","           2","121.73333333","           0","          10","           .","Yes","Home Improvement"
"        2400","           .","       17180","Other","           .","           0","           0","14.566666667","           3","           4","           .","Yes","Home Improvement"
"        2400","       34863","       47471","Mgr","5.5208791688","           0","           0","70.491080032","           1","          21","38.263600731","No","Home Improvement"
